genres,popularity
oxford indie,48.8775925925926
hungarian choir,48.875
new jersey rap,48.87155334913957
indie rock,48.847724569136496
modern blues rock,48.82319532319532
finnish metal,48.80808080808082
hurdy-gurdy,48.8
swedish singer-songwriter,48.79861111111111
north carolina roots,48.796918767507
christmas instrumental,48.77207449618776
belgian rock,48.75
gothic black metal,48.75
spanish rock,48.74606751502297
background piano,48.74166666666667
bay area indie,48.73611111111112
modern salsa,48.72333611807296
shiver pop,48.72210953346856
diva house,48.72153172498001
chicha,48.71580022541562
classic dubstep,48.69642857142857
canzone d'autore,48.67435897435898
slayer,48.67083333333333
italian pop rock,48.66666666666666
indian edm,48.66666666666666
gothic americana,48.66666666666666
hokkien pop,48.65
electronic rock,48.64462371519228
malian blues,48.63888888888889
substep,48.59090909090909
deep talent show,48.54890442890443
glitch hop,48.50844418739155
channel pop,48.50378787878788
stl indie,48.5
russian punk,48.5
rennes indie,48.5
swedish synth,48.5
wind ensemble,48.5
instrumental stoner rock,48.5
jazztronica,48.47859231411864
nu metal,48.41905853677447
rap rock,48.41014366201742
new england americana,48.38888888888889
symphonic black metal,48.38888888888889
baton rouge rap,48.37754726974474
british alternative rock,48.33333333333334
afro house,48.33333333333334
trip hop,48.3229603750669
christian rock,48.3118116172561
chakra,48.28571428571429
dream trance,48.28571428571429
eurobeat,48.28205128205128
pop chileno,48.25
latin house,48.25
french rock,48.238134246417005
spanish metal,48.17857142857142
grand rapids indie,48.16666666666666
space ambient,48.16666666666666
chinese indie,48.15897435897436
bachata,48.15279326049078
eau claire indie,48.14958540630183
progressive groove metal,48.11545454545454
britpop,48.10575796107917
nova mpb,48.10502344877344
north carolina indie,48.08235294117648
taiwan pop,48.08078474514118
liquid funk,48.075
collage pop,48.02083333333334
hip house,48.01338352884406
irish dance,48.0
8-bit,48.0
charango,48.0
atlanta punk,48.0
lexington ky indie,48.0
native american hip hop,48.0
hungarian contemporary classical,48.0
nz folk,48.0
huayno,48.0
maine hip hop,48.0
musica ayacuchana,48.0
atmospheric dnb,48.0
polish rock,48.0
fast melodic punk,48.0
j-pop girl group,48.0
mississippi indie,48.0
avant-garde metal,48.0
polish blues,48.0
folklore boliviano,48.0
boom bap,47.93644781144781
reggae fusion,47.90448327088189
hip pop,47.89587655088207
latin metal,47.87282608695652
red dirt,47.851967592592594
japanese singer-songwriter,47.84166666666668
swedish indie rock,47.83333333333334
garage house,47.790909090909096
atlanta metal,47.78888888888889
icelandic experimental,47.781645569620245
oakland hip hop,47.764114248869575
australian metalcore,47.719444444444434
west coast trap,47.7006039005877
scorecore,47.693768594246215
toronto indie,47.68051282051282
electroclash,47.67424242424242
danish rock,47.66447368421054
alabama indie,47.63636363636364
queer country,47.6264301693832
southern americana,47.6
power metal,47.59545781212902
nu gaze,47.57294142916755
neo soul,47.56996170594458
battle rap,47.548290196457
modern jazz trio,47.53333333333333
christian uplift,47.52083333333334
american post-rock,47.51041666666667
kentucky roots,47.50784917840376
funana,47.5
strut,47.5
argentine hardcore,47.5
brazilian modern jazz,47.5
new beat,47.5
hi-nrg,47.49796011105784
british soundtrack,47.49301463183741
uk worship,47.46666666666667
east coast reggae,47.46527777777778
manguebeat,47.45666666666666
new jersey indie,47.42865497076023
dinner jazz,47.36666666666666
german power metal,47.35909090909092
hard alternative,47.3536231884058
comedy rap,47.35276610644257
el paso indie,47.3452380952381
dunedin indie,47.33333333333334
pinoy hip hop,47.33333333333334
japanese punk rock,47.33333333333334
comic metal,47.30986399078503
alternative metal,47.29666726624183
experimental pop,47.294472448262006
vancouver metal,47.28571428571429
drum and bass,47.28333333333334
christian trap,47.25208333333334
