id_artists,id,name,popularity,duration_ms,explicit,artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,loudness_scale,tempo_scale,duration_scale,popularity_scale
['0Yly6PvJghpLD3Lj8Kvpcj'],7yWdEDmuqweoRkhZeftRtR,Sur La Pointe Des Pieds,0,187733,0,['Georgius'],1922,0.528,0.34299999999999997,0,-14.963,0,0.315,0.995,0.0,0.385,0.634,83.2,4,0.7506166666666667,0.34167395598483824,0.034742851855278985,0.0
['5ESobCkc6JI4tIMxQttqeg'],2wAfHM7Whz67VFbdanhZlk,Nobody Knows You When You're Down and Out,41,177133,0,['Bessie Smith'],1923,0.614,0.0423,4,-12.033,1,0.0535,0.996,0.00293,0.183,0.21100000000000002,89.822,4,0.79945,0.3688682460873815,0.032781160359026555,0.41
"['19eLuQmk9aCobbVDHc6eek', '2mY5u4CceAPrpBnse1WpFr']",3eMrYc092k7SIJfWJ7oasR,Weather Bird,38,161933,0,"['Louis Armstrong', 'Earl Hines']",1923,0.831,0.262,8,-12.386,1,0.0942,0.9840000000000001,0.912,0.204,0.9009999999999999,104.60600000000001,4,0.7935666666666666,0.42958107980468735,0.02996816877949477,0.38
['5ESobCkc6JI4tIMxQttqeg'],2AZgaYZSwUosJD71J2N2Zo,'Tain't Nobody's Bizness If I Do,30,206600,0,['Bessie Smith'],1923,0.537,0.0443,3,-16.474,0,0.0343,0.996,0.000265,0.152,0.13699999999999998,80.468,4,0.7254333333333334,0.33045456598783607,0.03823447765337282,0.3
['19eLuQmk9aCobbVDHc6eek'],7lRFR5GJCxK87ZbVMtQSeS,Ain't Misbehavin',28,192600,0,['Louis Armstrong'],1923,0.665,0.254,8,-9.879,1,0.10800000000000001,0.976,0.00217,0.644,0.503,125.734,4,0.83535,0.5163465526658371,0.03564356435643564,0.28
['5ESobCkc6JI4tIMxQttqeg'],6XTvSCqGLLH0vzQQRn55hz,"Empty Bed Blues, Pt. 1",27,181173,0,['Bessie Smith'],1923,0.7090000000000001,0.062,5,-12.207,1,0.048,0.995,0.0034100000000000003,0.12,0.5529999999999999,85.854,4,0.79655,0.3525730266481046,0.033528823910428426,0.27
['5ESobCkc6JI4tIMxQttqeg'],6qRvnXftofjYJm1Mg98UWL,Need a Little Sugar in My Bowl,27,167640,0,['Bessie Smith'],1923,0.693,0.027000000000000003,0,-13.505999999999998,0,0.0562,0.992,0.0,0.134,0.402,75.749,4,0.7749,0.311075246296821,0.03102433607846766,0.27
['5ESobCkc6JI4tIMxQttqeg'],0V1iYWPXCBTaB6dhbiprGF,Send Me to the 'Lectric Chair,26,201480,0,['Bessie Smith'],1923,0.7709999999999999,0.0905,3,-7.787999999999999,1,0.0613,0.986,0.00014099999999999998,0.152,0.601,87.571,4,0.8702,0.3596241586484167,0.03728694364763579,0.26
['5ESobCkc6JI4tIMxQttqeg'],6sOKopKyVWwEJKh8zztYp5,Young Woman's Blues,25,187960,0,['Bessie Smith'],1923,0.525,0.23199999999999998,8,-7.649,1,0.0335,0.995,0.0181,0.461,0.41100000000000003,76.14,4,0.8725166666666666,0.3126809496236248,0.03478486166373647,0.25
['5ESobCkc6JI4tIMxQttqeg'],0rUf1j43orpfi6f4LbVo8D,Careless Love,25,205053,0,['Bessie Smith'],1923,0.5870000000000001,0.175,2,-9.935,1,0.0384,0.992,0.00031800000000000003,0.073,0.483,98.523,4,0.8344166666666667,0.4046002784314208,0.037948181734061254,0.25
