,Unnamed: 0,Key,MusicalKey,valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
2482,2482,0,C,0.411,2020,0.454,"['MAX', 'SUGA']",0.746,172245,0.611,0,5dn6QANKbf76pANGjMBida,0.000922,0.133,-7.034,0,Blueberry Eyes (feat. SUGA of BTS),84,2020-09-15,0.101,149.967
4742,4742,0,C,0.637,2019,0.259,"['Piso 21', 'Christian Nodal']",0.728,227234,0.542,1,1cVlW9WQiGlFdWUXFdFZGh,0.0,0.136,-5.195,1,Pa' Olvidarme De Ella,84,2019-09-06,0.0514,90.016
4750,4750,0,C,0.963,2020,0.0907,"['Lele Pons', 'Guaynaa']",0.905,155825,0.6859999999999999,0,11EnQRgRMJwMAesfkB5pnu,0.0,0.266,-3.152,1,Se Te Nota (with Guaynaa),92,2020-09-02,0.0664,103.013
4751,4751,0,C,0.568,2020,0.608,"['Sista Prod', 'Subvrbs']",0.768,154599,0.339,0,0qUcpOOna3kkrwfqky85e1,0.000956,0.261,-13.169,1,Eyes Blue Like The Atlantic (feat. Subvrbs),83,2020-07-20,0.777,76.229
4752,4752,0,C,0.667,2020,0.777,['Pink Sweat$'],0.813,170345,0.415,0,0ri0Han4IRJhzvERHOZTMr,0.0,0.131,-5.926,1,At My Worst,85,2020-07-17,0.0349,91.921
4761,4761,0,C,0.233,2020,0.0101,"[""Why Don't We""]",0.606,216504,0.9,0,5GhJIMWAw0uMLgkdbt6uMz,0.0,0.075,-4.504,1,Fallin’ (Adrenaline),81,2020-09-29,0.119,133.963
4762,4762,0,C,0.946,2020,0.369,"['Clean Bandit', 'Mabel', '24kGoldn']",0.779,178374,0.705,0,27u7t9d7ZQoyjsCROHuZJ3,7.91e-06,0.124,-3.895,1,Tick Tock (feat. 24kGoldn),88,2020-08-21,0.0344,101.022
7099,7099,0,C,0.343,2019,0.471,"['Dalex', 'Lenny Tavárez', 'Chencho Corleone', 'Juhn', 'Dímelo Flow']",0.654,249520,0.672,0,5stPVcRqb4qixbafP9e8lt,0.0,0.0781,-5.98,0,Hola - Remix,83,2019-11-01,0.311,181.857
7114,7114,0,C,0.6579999999999999,2020,0.16,"['Jawsh 685', 'Jason Derulo', 'BTS']",0.758,184905,0.598,1,4TgxFMOn5yoESW6zCidCXL,0.0,0.295,-5.695,0,Savage Love (Laxed – Siren Beat) [BTS Remix],86,2020-10-02,0.0868,149.836
7117,7117,0,C,0.485,2020,0.192,"['ROSALÍA', 'Travis Scott']",0.7759999999999999,129371,0.509,0,4w47S36wQGBhGg073q3nt7,1.49e-06,0.115,-6.266,0,TKN (feat. Travis Scott),84,2020-05-28,0.467,94.634
